OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,MD007-392632076442801,BA1988S081,Facility: Diversion,,02060003,,,,,39.4422222,-76.7411111,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-392711076401301,BA1960G004,Well,,02060003,,,,,39.4530556,-76.6702778,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,005,Piedmont and Blue Ridge crystalline-rock aquifers,Loch Raven Schist,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-392941076533601,CL1985G038,Well,,02060003,,,,,39.4947222,-76.8933333,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,013,Piedmont and Blue Ridge crystalline-rock aquifers,Wissahickon Formation,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-393028076362301,BA1971G004,Well,,02060003,,,,,39.5077778,-76.6063889,,1,minutes,Unknown.,NAD83,,,,,,,US,24,005,Piedmont and Blue Ridge crystalline-rock aquifers,Cockeysville Marble,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-393050076541401,CL1998G005,Well,,02060003,,,,,39.5138889,-76.9038889,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,013,Piedmont and Blue Ridge crystalline-rock aquifers,Upper Pelitic Schist of Wissahickon Formation,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-393234076283001,HA2005G008,Well,,02060003,,,,,39.5427778,-76.475,,1,minutes,Unknown.,NAD83,,,,,,,US,24,025,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-393248077025801,CL2002G042,Well,,02070009,,,,,39.5466667,-77.0494444,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,013,Piedmont and Blue Ridge crystalline-rock aquifers,Wakefield Marble,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-393255076295901,HA1991S064,Facility: Diversion,,02060003,,,,,39.5486111,-76.4997222,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,025,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-393258076595901,CL2008G001,Well,,02070009,,,,,39.5494444,-76.9997222,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,013,Piedmont and Blue Ridge crystalline-rock aquifers,Sams Creek Metabasalt,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-393328077002401,CL2007G019,Well,,02070009,,,,,39.5577778,-77.0066667,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,013,Piedmont and Blue Ridge crystalline-rock aquifers,Sams Creek Metabasalt,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-393328077020701,CL2006S025,Facility: Diversion,,02070009,,,,,39.5577778,-77.0352778,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,013,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-393554076362101,BA1983G017,Well,,02060003,,,,,39.5983333,-76.6058333,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,005,Piedmont and Blue Ridge crystalline-rock aquifers,Loch Raven Schist,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-393634076380301,BA2004G021,Well,,02060003,,,,,39.6094444,-76.6341667,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,005,Piedmont and Blue Ridge crystalline-rock aquifers,Ultramafic and Gabbroic Rocks,Unconfined single aquifer,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD007-393643076324301,HA1993G023,Well,,02060003,,,,,39.6119444,-76.5452778,,Unknown,Unknown,Unknown.,NAD83,,,,,,,US,24,025,Piedmont and Blue Ridge crystalline-rock aquifers,Lower Pelitic Schist of Wissahickon Formation,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD058-391351076292501,BA Gf   5,Well,,02060003,,,,,39.2309414,-76.4899617,,1,seconds,Reported.,NAD83,,,,,,,US,24,005,,,Confined single aquifer,1925,610,ft,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD058-391351076292701,BA Gf   3,Well,,02060003,,,,,39.2309414,-76.4905172,,1,seconds,Reported.,NAD83,10,feet,1,feet,Reported method of determination.,NGVD29,US,24,005,,,Confined single aquifer,1926,622,ft,,,NWIS
USGS-MD,USGS Maryland Water Science Center,MD058-391353076292702,BA Gg 5,Well,,02060003,,,,,39.2494444,-76.4119444,24000,1,seconds,Reported.,NAD83,20,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,005,,,,,64,ft,64,ft,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01581675,"WEST BR WINTERS RUN NR PLEASANTVILLE, MD",Stream,,02060003,6.39,sq mi,,,39.5513889,-76.4469444,24000,5,seconds,Interpolated from MAP.,NAD83,335,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,025,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01581680,"EAST BRANCH WINTERS RUN NEAR HIGH POINT, MD",Stream,,02060003,9.58,sq mi,,,39.5633333,-76.4427778,24000,5,seconds,Interpolated from MAP.,NAD83,341,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,025,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01581850,"GEORGES RUN AT ARMACOST, MD",Stream,,02060003,13,sq mi,,,39.6153816,-76.7902534,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01581870,"GEORGES RUN NEAR BECKLEYSVILLE, MD",Stream,,02060003,15.8,sq mi,,,39.6258889,-76.7725278,24000,.1,seconds,Interpolated from MAP.,NAD83,520.06,feet,.18,feet,Differentially corrected Global Positioning System.,NAVD88,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01581920,"GUNPOWDER FALLS NEAR PARKTON, MD",Stream,,02060003,81.5,sq mi,,,39.6188889,-76.6903056,24000,1,seconds,Interpolated from MAP.,NAD83,355.43,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01581940,"MINGO BRANCH NEAR HEREFORD, MD",Stream,,02060003,0.78,sq mi,,,39.61125,-76.6752222,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,399,feet,1,feet,Global Positioning System.,NGVD29,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01581955,"GUNPOWDER FALLS NEAR HEREFORD, MD",Stream,,02060003,91.6,sq mi,,,39.6089938,-76.635248,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01581985,"SECOND MINE BRANCH AT WHITE HALL, MD",Stream,,02060003,5.8,sq mi,,,39.6230556,-76.63,24000,5,seconds,Interpolated from MAP.,NAD83,338,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01582000,"LITTLE FALLS AT BLUE MOUNT, MD",Stream,,02060003,52.9,sq mi,,,39.6040833,-76.6204722,24000,1,seconds,Interpolated from MAP.,NAD83,302.32,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01582500,"GUNPOWDER FALLS AT GLENCOE, MD",Stream,,02060003,160,sq mi,,,39.5496944,-76.6361111,24000,1,seconds,Interpolated from MAP.,NAD83,244.13,feet,.1,feet,Differentially corrected Global Positioning System.,NAVD88,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01582510,"PINEY CREEK NEAR HEREFORD, MD",Stream,,02060003,1.5,sq mi,,,39.5773273,-76.6771942,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01582900,"GREEN BRANCH AT PHOENIX, MD",Stream,,02060003,4.45,sq mi,,,39.5062172,-76.613581,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01583000,"SLADE RUN NEAR GLYNDON, MD",Stream,,02060003,2.09,sq mi,,,39.4953889,-76.7948333,24000,.1,seconds,Interpolated from MAP.,NAD83,425.25,feet,.01,feet,Level or other surveyed method.,NGVD29,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01583100,"PINEY RUN AT DOVER, MD",Stream,,02060003,12.3,sq mi,,,39.5206111,-76.7668889,24000,1,seconds,Interpolated from MAP.,NAD83,375.16,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01583200,"BLACKROCK RUN AT COOPERSVILLE, MD",Stream,,02060003,9.38,sq mi,,,39.5434385,-76.7330299,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01583495,"WESTERN RUN TRIBUTARY AT WESTERN RUN, MD",Stream,,02060003,0.26,sq mi,,,39.5170501,-76.6841393,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01583500,"WESTERN RUN AT WESTERN RUN, MD",Stream,,02060003,59.8,sq mi,,,39.5107778,-76.6765,24000,1,seconds,Interpolated from MAP.,NAD83,262.08,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01583565,"BAISMAN RUN AT SHAWAN, MD",Stream,,02060003,0.15,sq mi,,,39.4853836,-76.7033066,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01583569,"BAISMAN RUN NEAR SHAWAN, MD",Stream,,02060003,,,,,39.4781614,-76.6877503,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01583570,"POND BRANCH AT OREGON RIDGE, MD",Stream,,02060003,0.12,sq mi,,,39.4803056,-76.6875,24000,1,seconds,Interpolated from MAP.,NAD83,446.02,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01583572,"POND BRANCH NEAR SHAWAN, MD",Stream,,02060003,,,,,39.4784392,-76.6874726,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01583580,"BAISMAN RUN AT BROADMOOR, MD",Stream,,02060003,1.47,sq mi,,,39.4794722,-76.6780278,24000,1,seconds,Interpolated from MAP.,NAD83,329.33,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01583600,"BEAVERDAM RUN AT COCKEYSVILLE, MD",Stream,,02060003,20.9,sq mi,,,39.4855833,-76.6457222,24000,1,seconds,Interpolated from MAP.,NAD83,239.70,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01583800,"LONG QUARTER BRANCH AT LUTHERVILLE, MD",Stream,,02060003,1.98,sq mi,,,39.4256111,-76.5961944,24000,.5,seconds,Interpolated from Digital MAP.,NAD83,243.14,feet,0.1,feet,Level or other surveyed method.,NAVD88,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01583978,"GUNPOWDER FALLS NEAR GLEN ARM, MD",Stream,,02060003,,,,,39.4305556,-76.545,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397925,"MINEBANK RUN AT INTERVALE COURT NEAR TOWSON, MD",Stream,,02060003,0.41,sq mi,,,39.4020556,-76.579,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,340,feet,5,feet,Interpolated from topographic map.,NGVD29,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397935,"MINEBANK RUN AT TOWSON, MD",Stream,,02060003,0.59,sq mi,,,39.402329,-76.5730225,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397940,"MINEBANK RUN TRIBUTARY AT TOWSON, MD",Stream,,02060003,0.16,sq mi,,,39.403579,-76.5719114,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397960,"MINEBANK RUN NEAR TOWSON, MD",Stream,,02060003,1.39,sq mi,,,39.4078846,-76.5621888,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397964,"MINEBANK RUN ABOVE HARTS RUN NEAR GLEN ARM, MD",Stream,,02060003,1.51,sq mi,,,39.4087179,-76.5577442,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397965,"HARTS RUN NEAR TOWSON, MD",Stream,,02060003,0.48,sq mi,,,39.4106623,-76.5609388,240000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397966,"HARTS RUN AT OUTLET NEAR TOWSON, MD",Stream,,02060003,0.51,sq mi,,,39.4089957,-76.558022,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397967,"MINEBANK RUN NEAR GLEN ARM, MD",Stream,,02060003,2.06,sq mi,,,39.4096111,-76.55725,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,216.12,feet,.01,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397968,"MINEBANK RUN AT TRANSECT 3 NEAR GLEN ARM, MD",Stream,,02060003,2.07,sq mi,,,39.4103846,-76.5557164,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,212.03,feet,.01,feet,Level or other surveyed method.,NGVD29,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397969,"MINEBANK RUN AT TRANSECT 2 NEAR GLEN ARM, MD",Stream,,02060003,2.08,sq mi,,,39.4105512,-76.5555497,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,213.73,feet,.01,feet,Level or other surveyed method.,NGVD29,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397971,"MINEBANK RUN AT TRANSECT 1 NEAR GLEN ARM, MD",Stream,,02060003,2.09,sq mi,,,39.4109679,-76.5550775,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,211.87,feet,.01,feet,Level or other surveyed method.,NGVD29,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397973,"MINEBANK RUN BELOW TRANSECT 1 NEAR PARKVILLE, MD",Stream,,02060003,2.11,sq mi,,,39.4113846,-76.5541608,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,204.95,feet,.01,feet,Level or other surveyed method.,NGVD29,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397975,"MINEBANK RUN NEAR PARKVILLE, MD",Stream,,02060003,2.2,sq mi,,,39.4120512,-76.5531607,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397980,"MINEBANK RUN NEAR CARNEY, MD",Stream,,02060003,2.46,sq mi,,,39.4126068,-76.5519107,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397985,"MINEBANK RUN TRIBUTARY NEAR CARNEY, MD",Stream,,02060003,0.15,sq mi,,,39.4156624,-76.5491328,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397990,"MINEBANK RUN NEAR LOCH RAVEN, MD",Stream,,02060003,2.86,sq mi,,,39.4164957,-76.546355,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158397995,"MINEBANK RUN TRIBUTARY AT LOCH RAVEN, MD",Stream,,02060003,,,,,39.4164957,-76.546355,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01583980,"MINEBANK RUN AT LOCH RAVEN, MD",Stream,,02060003,2.9,sq mi,,,39.4166667,-76.5463056,24000,1,seconds,Interpolated from MAP.,NAD83,181.39,feet,.01,feet,Level or other surveyed method.,NGVD29,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-0158398050,"MINEBANK RUN AT OUTLET NEAR CARNEY, MD",Stream,,02060003,3.27,sq mi,,,39.422329,-76.5377436,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01583985,"GUNPOWDER FALLS AT LOCH RAVEN, MD",Stream,,02060003,,,,,39.4253846,-76.52941,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01584000,"GUNPOWDER FALLS NEAR CARNEY, MD",Stream,,02060003,314,sq mi,,,39.4245514,-76.5113537,24000,1,seconds,Interpolated from MAP.,NAD83,135,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01584050,"LONG GREEN CREEK AT GLEN ARM, MD",Stream,,02060003,9.4,sq mi,,,39.4546944,-76.4788889,24000,1,seconds,Interpolated from MAP.,NAD83,243.34,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01584200,"LITTLE GUNPOWDER FALLS AT HESS, MD",Stream,,02060003,16.5,sq mi,,,39.5437171,-76.5310776,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01584500,"LITTLE GUNPOWDER FALLS AT LAUREL BROOK, MD",Stream,,02060003,36.1,sq mi,,,39.5053611,-76.4317778,24000,1,seconds,Interpolated from MAP.,NAD83,260.62,feet,1.0,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01585000,"LITTLE GUNPOWDER FALLS NEAR BEL AIR, MD",Stream,,02060003,43,sq mi,,,39.4762185,-76.408295,24000,1,seconds,Interpolated from MAP.,NAD83,200,feet,10,feet,Interpolated from topographic map.,NGVD29,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01585090,"WHITEMARSH RUN NEAR FULLERTON, MD",Stream,,02060003,2.73,sq mi,,,39.3795833,-76.4958056,24000,1,seconds,Interpolated from MAP.,NAD83,118.73,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01585095,"NORTH FORK WHITEMARSH RUN NEAR WHITE MARSH, MD",Stream,,02060003,1.34,sq mi,,,39.3858889,-76.4688611,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01585100,"WHITEMARSH RUN AT WHITE MARSH, MD",Stream,,02060003,7.61,sq mi,,,39.3707778,-76.4460556,24000,1,seconds,Interpolated from Digital MAP.,NAD83,33.71,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,005,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01585104,"HONEYGO RUN NEAR WHITE MARSH, MD",Stream,,02060003,2.5,sq mi,,,39.383,-76.4329722,24000,1,seconds,Interpolated from MAP.,NAD83,19.92,feet,.01,feet,Differentially corrected Global Positioning System.,NAVD88,US,24,005,,,,,,,,,NWIS
